title,price,year,mileage,fuel,engine,transmission
Toyota Raize  2025 Z for Sale,6100000.0,2025,58000.0,Petrol,1000.0,Automatic
Daihatsu Boon  2006 1.0 CL for Sale,1750000.0,2006,153556.0,Petrol,1000.0,Automatic
Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,3700000.0,2017,98000.0,Petrol,1300.0,Automatic
Daihatsu Mira  2014 L for Sale,2050000.0,2014,131103.0,Petrol,660.0,Automatic
Toyota Vitz  2009 F 1.0 for Sale,2080000.0,2009,166538.0,Petrol,1000.0,Automatic
Daihatsu Copen  2017 Robe S for Sale,3425000.0,2017,54000.0,Petrol,660.0,Automatic
Hyundai Santa Fe  2024 Signature for Sale,15500000.0,2024,1205.0,Hybrid,1600.0,Automatic
Toyota Vitz  2019 F 1.0 for Sale,3600000.0,2019,115163.0,Petrol,996.0,Automatic
Mercedes Benz E Class  2005  for Sale,4800000.0,2005,66000.0,Petrol,1800.0,Automatic
Honda Civic Rebirth 2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,3200000.0,2012,103710.0,Petrol,1800.0,Automatic
Daihatsu Mira  2022 X SA lll for Sale,3650000.0,2022,44927.0,Petrol,660.0,Automatic
Suzuki Alto  2023 VXR for Sale,2500000.0,2023,48671.0,Petrol,660.0,Manual
Suzuki Alto  2020 VXL AGS for Sale,2500000.0,2020,55271.0,Petrol,660.0,Automatic
Prince Pearl  2022 MT for Sale,1070000.0,2022,10000.0,Petrol,800.0,Manual
Honda Civic 5th Generation 1995 EX for Sale,725000.0,1995,150000.0,Petrol,1500.0,Manual
KIA Picanto  2020 1.0 AT for Sale,2490000.0,2020,48000.0,Petrol,1000.0,Automatic
Honda Civic 6th Generation 1998 EXi for Sale,1095000.0,1998,100000.0,Petrol,1500.0,Manual
Suzuki Alto  2014 ECO-S for Sale,2085000.0000000002,2014,80000.0,Petrol,660.0,Automatic
Honda BR-V  2020 i-VTEC S for Sale,4650000.0,2020,26941.0,Petrol,1500.0,Automatic
Toyota Yaris Sedan  2025 GLI MT 1.3 for Sale,4450000.0,2025,14000.0,Petrol,1300.0,Manual
Range Rover Sport  2007 Supercharged 4.2 V8 for Sale,7000000.0,2007,93000.0,Petrol,4200.0,Automatic
Honda Fit  2013 Sporty Edition for Sale,3350000.0,2013,117000.0,Petrol,1300.0,Automatic
Honda Civic Rebirth 2014 VTi Prosmatec 1.8 i-VTEC for Sale,3400000.0,2014,113000.0,Petrol,1800.0,Automatic
Honda City 5th (GM2) Generation 2010 1.3 i-VTEC for Sale,2000000.0,2010,140000.0,Petrol,1300.0,Manual
Suzuki Cultus  2014 EURO II for Sale,1320000.0,2014,37000.0,Petrol,1000.0,Manual
Suzuki Khyber  1997 Limited Edition for Sale,390000.0,1997,3000.0,Petrol,1000.0,Manual
Suzuki Cultus  2013 EURO II for Sale,1290000.0,2013,88000.0,Petrol,1000.0,Manual
Suzuki Alto  2009 VXR for Sale,880000.0000000001,2009,145000.0,Petrol,1000.0,Manual
Suzuki Alto  2011 VXR for Sale,1050000.0,2011,1234.0,Petrol,1000.0,Manual
Toyota C-HR  2019 G-LED for Sale,8350000.0,2019,114874.0,Hybrid,1800.0,Automatic
Toyota Yaris Sedan  2021 ATIV X CVT 1.5 for Sale,4530000.0,2021,520000.0,Petrol,1500.0,Automatic
Toyota Fortuner  2021 2.8 Sigma 4 for Sale,18000000.0,2021,72000.0,Diesel,2800.0,Automatic
Toyota Corolla  2022 Altis X Automatic 1.6 Special Edition for Sale,6850000.0,2022,27000.0,Petrol,1600.0,Automatic
Suzuki Alto  2020 VXL AGS for Sale,2500000.0,2020,55271.0,Petrol,660.0,Automatic
Peugeot 2008  2022 Allure for Sale,5475000.0,2022,39900.0,Petrol,1200.0,Automatic
Toyota Prius  2008 G Touring Selection 1.5 for Sale,2575000.0,2008,178000.0,Hybrid,1500.0,Automatic
Prince Pearl  2024 MT for Sale,1475000.0,2024,5900.0,Petrol,800.0,Manual
Proton X70  2022 Premium FWD for Sale,5650000.0,2022,44000.0,Petrol,1500.0,Automatic
Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,4129999.9999999995,2019,90490.0,Petrol,1300.0,Automatic
Mercedes Benz C Class  2018 C180 Exclusive for Sale,15000000.0,2018,48200.0,Petrol,1600.0,Automatic
Suzuki Cultus  2018 VXR for Sale,2300000.0,2018,95984.0,Petrol,1000.0,Manual
Honda BR-V  2024 i-VTEC S for Sale,6984999.999999999,2024,1444.0,Petrol,1500.0,Automatic
Suzuki Wagon R  2016 VXR for Sale,2075000.0,2016,52183.0,Petrol,1000.0,Manual
Toyota C-HR  2017 G-LED for Sale,5700000.0,2017,114000.0,Hybrid,1800.0,Automatic
Suzuki Cultus  2005 VX for Sale,700000.0,2005,6732.0,Petrol,1000.0,Manual
Toyota Corolla  2022 Altis X Automatic 1.6 Special Edition for Sale,6850000.0,2022,27000.0,Petrol,1600.0,Automatic
Daihatsu Copen  2017 Robe S for Sale,3425000.0,2017,54000.0,Petrol,660.0,Automatic
Proton X70  2023 Premium FWD for Sale,6800000.0,2023,30000.0,Petrol,1500.0,Automatic
Suzuki Alto  2022 VXL AGS for Sale,2790000.0,2022,25500.0,Petrol,660.0,Automatic
Suzuki Cultus  2005 VXR for Sale,650000.0,2005,1.0,LPG,1000.0,Manual
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,1975000.0,2010,100000.0,Petrol,1300.0,Manual
Honda Insight  2010 G for Sale,2450000.0,2010,160000.0,Hybrid,1300.0,Automatic
Hyundai Santa Fe  2024 Signature for Sale,15500000.0,2024,1205.0,Hybrid,1600.0,Automatic
Toyota Vitz  2019 F 1.0 for Sale,3600000.0,2019,115163.0,Petrol,996.0,Automatic
Mercedes Benz E Class  2005  for Sale,4800000.0,2005,66000.0,Petrol,1800.0,Automatic
Honda Civic Rebirth 2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,3200000.0,2012,103710.0,Petrol,1800.0,Automatic
Daihatsu Mira  2022 X SA lll for Sale,3650000.0,2022,44927.0,Petrol,660.0,Automatic
Suzuki Alto  2023 VXR for Sale,2500000.0,2023,48671.0,Petrol,660.0,Manual
Toyota Yaris Sedan  2025 GLI CVT 1.3 for Sale,5300000.0,2025,3200.0,Petrol,1300.0,Automatic
Toyota Vitz  2016 F 1.0 for Sale,3200000.0,2016,73000.0,Petrol,1000.0,Automatic
Suzuki Wagon R  2015 Stingray J Style for Sale,2400000.0,2015,79500.0,Petrol,660.0,Automatic
Toyota Prado  2021 TX L Package 2.7 for Sale,32599999.999999996,2021,17144.0,Petrol,2700.0,Automatic
Suzuki Mehran  2010 VXR (CNG) for Sale,700000.0,2010,70760.0,Petrol,800.0,Manual
Honda BR-V  2022 i-VTEC S for Sale,5150000.0,2022,61608.0,Petrol,1500.0,Automatic
Toyota Prado  2016 TX 2.7 for Sale,19500000.0,2016,111063.0,Petrol,2700.0,Automatic
Toyota Yaris Sedan  2020 ATIV CVT 1.3 for Sale,3700000.0,2020,174309.0,Petrol,1300.0,Automatic
Suzuki Cultus  2016 Limited Edition for Sale,1550000.0,2016,83835.0,Petrol,1000.0,Manual
Toyota Prius  2011 G Touring Selection 1.8 for Sale,3500000.0,2011,111292.0,Hybrid,1800.0,Automatic
Daihatsu Mira  2016 L for Sale,2450000.0,2016,115610.0,Petrol,660.0,Automatic
DFSK Glory 580  2021 1.5 CVT for Sale,4400000.0,2021,71560.0,Petrol,1500.0,Automatic
Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,4750000.0,2016,78000.0,Petrol,1500.0,Automatic
Toyota Corolla  2012 Altis SR Cruisetronic 1.6 for Sale,3500000.0,2012,124000.0,Petrol,1600.0,Automatic
Suzuki Wagon R  2016 VXR for Sale,2075000.0,2016,52183.0,Petrol,1000.0,Manual
Toyota Corolla  2008 XLi VVTi for Sale,1800000.0,2008,165000.0,Petrol,1300.0,Manual
Toyota C-HR  2017 G-LED for Sale,5700000.0,2017,114000.0,Hybrid,1800.0,Automatic
Suzuki Cultus  2005 VX for Sale,700000.0,2005,6732.0,Petrol,1000.0,Manual
Suzuki Alto  2003 VXR for Sale,650000.0,2003,100.0,Petrol,1000.0,Manual
Honda Civic  2001 EXi for Sale,1080000.0,2001,100.0,Petrol,1500.0,Manual
Toyota Corolla  2021 Altis X Automatic 1.6 for Sale,5575000.0,2021,39700.0,Petrol,1600.0,Automatic
Daihatsu Mira  2020 L SA III for Sale,3080000.0,2020,17800.0,Petrol,660.0,Automatic
Toyota Hilux  2021 Revo V Automatic 2.8 for Sale,12400000.0,2021,22000.0,Diesel,2800.0,Automatic
Toyota Raize  2020 Z for Sale,5950000.0,2020,47000.0,Petrol,1000.0,Automatic
Changan Oshan X7  2025 FutureSense 7 Seat for Sale,9380000.0,2025,1.0,Petrol,1500.0,Automatic
Suzuki Alto  2020 VXR for Sale,2280000.0,2020,62000.0,Petrol,660.0,Manual
Daihatsu Move  2019 Custom X for Sale,2850000.0,2019,73088.0,Petrol,660.0,Automatic
Toyota Hilux  2023 Revo V Automatic 2.8 for Sale,12900000.0,2023,40000.0,Diesel,2800.0,Automatic
Toyota C-HR  2018 G-LED for Sale,7000000.0,2018,115129.0,Hybrid,1800.0,Automatic
Toyota Prado 3rd (J120) Generation 2003 TZ 3.4 for Sale,7500000.0,2003,133000.0,Petrol,3400.0,Automatic
Toyota Corolla Fielder  2017 Hybrid G for Sale,4500000.0,2017,116178.0,Hybrid,1500.0,Automatic
Toyota Prado  2016 TX L Package 2.7 for Sale,20500000.0,2016,85171.0,Petrol,2700.0,Automatic
Toyota Aqua  2018 S for Sale,5100000.0,2018,83413.0,Hybrid,1500.0,Automatic
Mitsubishi Lancer  2007 GLX Automatic 1.6 for Sale,2100000.0,2007,118000.0,Petrol,1600.0,Automatic
Suzuki Ciaz  2018 Automatic for Sale,2800000.0,2018,117325.0,Petrol,1400.0,Automatic
Suzuki Swift  2023 GL CVT for Sale,4325000.0,2023,23665.0,Petrol,1200.0,Automatic
Honda Vezel  2022 e-HEV X for Sale,9800000.0,2022,49000.0,Hybrid,1500.0,Automatic
Toyota Corolla  2020 Altis Grande CVT-i 1.8 for Sale,5900000.0,2020,40100.0,Petrol,1800.0,Automatic
Toyota Yaris Hatchback  2022 X for Sale,4100000.0,2022,13981.0,Petrol,1000.0,Automatic
Toyota Corolla  2015 GLi 1.3 VVTi for Sale,3200000.0,2015,131320.0,Petrol,1300.0,Manual
Toyota Corolla  2012 Altis SR Cruisetronic 1.6 for Sale,3500000.0,2012,124000.0,Petrol,1600.0,Automatic
Suzuki Khyber  1994  for Sale,360000.0,1994,100200.0,CNG,1000.0,Manual
Toyota Platz  2008  for Sale,1650000.0,2008,100000.0,Petrol,1300.0,Automatic
Toyota Prius  2014 S 1.8 for Sale,4280000.0,2014,83500.0,Hybrid,1800.0,Automatic
Toyota Passo  2017 X L Package S  for Sale,3200000.0,2017,71000.0,Petrol,1000.0,Automatic
KIA Sorento  2021 2.4 AWD for Sale,8300000.0,2021,52500.0,Petrol,2400.0,Automatic
Suzuki Margalla  1990  for Sale,450000.0,1990,100000.0,Petrol,1000.0,Manual
Daihatsu Mira  2016 L for Sale,2500000.0,2016,81000.0,Petrol,660.0,Automatic
Daihatsu Mira  2014 L for Sale,2250000.0,2014,120000.0,Petrol,660.0,Automatic
Suzuki Cultus  2012 EURO II for Sale,1150000.0,2012,60000.0,Petrol,1000.0,Manual
Toyota Corolla  2018 GLi 1.3 VVTi for Sale,4500000.0,2018,61500.0,Petrol,1300.0,Manual
Honda Civic  2004 EXi Prosmatec for Sale,1550000.0,2004,132000.0,Petrol,1500.0,Automatic
Daihatsu Sonica  2012  for Sale,1450000.0,2012,100000.0,Petrol,660.0,Automatic
Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,3950000.0,2017,93000.0,Petrol,1300.0,Automatic
Toyota Passo  2022 Moda for Sale,5200000.0,2022,17000.0,Petrol,1000.0,Automatic
Suzuki Wagon R  2007  for Sale,1450000.0,2007,232000.0,Petrol,660.0,Automatic
KIA Sportage  2021 AWD for Sale,7384999.999999999,2021,15800.0,Petrol,2000.0,Automatic
Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,3395000.0000000005,2019,44349.0,Petrol,1300.0,Automatic
Toyota Corolla  2015 GLi 1.3 VVTi for Sale,3200000.0,2015,131320.0,Petrol,1300.0,Manual
Nissan Clipper  2019  for Sale,2800000.0,2019,101027.0,Petrol,660.0,Automatic
Daihatsu Mira  2015 L for Sale,2350000.0,2015,75000.0,Petrol,660.0,Automatic
Daihatsu Move  2020 L SA 3 for Sale,3625000.0,2020,32000.0,Petrol,658.0,Automatic
Haval H6  2024 HEV for Sale,11600000.0,2024,12395.0,Hybrid,1500.0,Automatic
Suzuki Alto  2012 VXR (CNG) for Sale,950000.0,2012,132439.0,CNG,1000.0,Manual
Toyota Aqua  2015 G LED Soft Leather Selection  for Sale,4150000.0,2015,90000.0,Hybrid,1500.0,Automatic
Toyota Yaris Sedan  2020 ATIV X MT 1.5 for Sale,3850000.0,2020,55300.0,Petrol,1500.0,Manual
Changan Oshan X7  2023 FutureSense for Sale,7900000.0,2023,29707.0,Petrol,1500.0,Automatic
Suzuki Every  2020 PA for Sale,2490000.0,2020,105000.0,Petrol,660.0,Automatic
Toyota Passo  2015 X for Sale,2500000.0,2015,92385.0,Petrol,1000.0,Automatic
Changan Karvaan  2020 Plus for Sale,1800000.0,2020,124933.0,Petrol,1000.0,Manual
Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,3395000.0000000005,2019,44349.0,Petrol,1300.0,Automatic
Toyota Corolla  2006 GLi 1.3 for Sale,2200000.0,2006,191000.0,Petrol,1300.0,Manual
Honda Accord  1988 EX for Sale,850000.0,1988,100000.0,Petrol,1600.0,Manual
Suzuki Swift  2023 GL CVT for Sale,4325000.0,2023,23665.0,Petrol,1200.0,Automatic
Honda Vezel  2022 e-HEV X for Sale,9800000.0,2022,49000.0,Hybrid,1500.0,Automatic
Suzuki Cultus  2016 EURO II for Sale,1650000.0,2016,70000.0,Petrol,1000.0,Manual
Toyota Corolla  1992 SE Limited for Sale,1950000.0,1992,63000.0,Petrol,1500.0,Automatic
Toyota Corolla  2020 Altis Grande CVT-i 1.8 for Sale,5900000.0,2020,40100.0,Petrol,1800.0,Automatic
Suzuki Margalla  1990  for Sale,260000.0,1990,66000.0,Petrol,1000.0,Manual
Toyota Yaris Hatchback  2022 X for Sale,4100000.0,2022,13981.0,Petrol,1000.0,Automatic
Suzuki Alto  2003 VXR for Sale,720000.0,2003,182000.0,Petrol,1000.0,Manual
Suzuki Wagon R  2018 VXR for Sale,2075000.0,2018,85000.0,Petrol,1000.0,Manual
Changan Karvaan  2020 Base Model 1.0 for Sale,1950000.0,2020,78000.0,Petrol,1000.0,Manual
Toyota Platz  2022  for Sale,1400000.0,2022,220866.0,Petrol,1000.0,Automatic
Audi A4 4th (B8) Generation 2014 1.8 TFSI for Sale,7000000.0,2014,48000.0,Petrol,1800.0,Automatic
Daihatsu Terios Kid  2001  for Sale,1525000.0,2001,166659.0,Petrol,660.0,Automatic
Toyota Corolla  2025 Altis X CVT-i 1.8 for Sale,4500000.0,2025,63000.0,Petrol,1800.0,Automatic
Suzuki Mehran  2010 VX for Sale,595000.0,2010,98562.0,Petrol,800.0,Manual
